ts                  uid                 id.orig_h       id.orig_p   id.resp_h       id.resp_p  proto  service  duration  orig_bytes  resp_bytes  conn_state  local_orig  local_resp  missed_byteshistory  orig_pkts  orig_ip_bytes  resp_pkts  resp_ip_bytes  tunnel_parents
1702615005.735926  C9t6az1zIJLxaEobB3  192.168.1.11    46220       184.105.99.75   443        tcp    -        -         -           -           OTH         T           F           0           C          0             0          0              -
1702615003.799960  CrZDuw26RFbgHxCZMa  192.168.1.11    55840       142.250.182.138  443        tcp    -        0.009140  0           0           SHR         T           F           0           CafA       1             52         2              104-
1702615003.799801  C3m7Bd1OFqtRZ3xW59  192.168.1.11    48822       142.250.193.98   443        tcp    -        0.010270  0           0           SHR         T           F           0           CafA       1             52         2              104-
1702615003.799921  CMzMEkvjB9eEaP6a1  192.168.1.11    58812       142.250.76.70    443        tcp    -        0.010171  0           0           SHR         T           F           0           CafA       1             52         2              104-
1702615005.800556  Cwwmuj35KNYPbbM3I4  192.168.1.11    51578       142.250.195.206  443        tcp    -        0.130742  0           0           SHR         T           F           0           Caf         0             0          2              104-
1702615005.800706  CEXHhr46tW1DOlsmG2  192.168.1.11    58166       142.250.195.67   443        tcp    -        0.136817  0           0           SHR         T           F           0           Caf         0             0          2              104-
1702615005.800686  CC80nE3z73D7FK8uR  192.168.1.11    59250       142.250.67.33    443        tcp    -        0.137635  0           0           SHR         T           F           0           Caf         0             0          2              104-
1702615005.800666  CEGnR12DwWXQUZhZQa  192.168.1.11    34732       142.250.183.227  443        tcp    -        0.144527  0           0           SHR         T           F           0           Caf         0             0          2              104-
1702615006.801558  Cd53K242659q5n47He  192.168.1.11    59510       142.250.195.227  443        tcp    -        0.008807  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615007.802387  C6alPj1QKZhYdv6HJ4  192.168.1.11    51058       216.58.200.150  443        tcp    -        0.020083  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615010.564269  CN9jBx4LfsKjZVBUnc  192.168.1.11    56118       13.67.9.5       443        tcp    -        -         -           -           OTH         T           F           0           C          0             0          0              0           -
1702615011.803027  CzHgKe4FWrK0rjRVp2  192.168.1.11    38378       172.217.11.2    443        tcp    -        0.018541  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615012.803726  CgU6cC1mL5DRwGNmT2  192.168.1.11    51078       216.58.200.150  443        tcp    -        0.022672  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615012.804195  CGU8Oz1tDnEjEBwdSi  192.168.1.11    53600       142.250.194.202  443        tcp    -        0.020936  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615013.814781  CCuQNx1R5sTqZbKSh6  192.168.1.11    55712       172.217.12.98   443        tcp    -        0.021677  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615014.814262  C1vXnk1TbZCMV8Fkfd  192.168.1.11    54806       172.217.15.98   443        tcp    -        0.022279  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615014.814711  C67IjB2hFI4jIj2eMb  192.168.1.11    33840       142.250.182.99   443        tcp    -        0.027210  0           0           SHR         T           F           0           CafA        1             52         2              104-
1702615015.158007  CP3doP1heXhuHf9s6  192.168.1.11    51890       52.114.132.39   443        tcp    -        0.067171  0           0           SHR         T           F           0           Caf         0             0          2              104-
